ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,sex,Age,Estimate,Year
812,Tolon,Tolon,TOLON,826,Tolon Kumbungu,Tolon Kumbungu,Northern,1354553389,1355,m,40,1458,2015
813,Savelugu Nanton,Savelugu Nanton,SAVELUGU NANTON,803,Savelugu Nanton,Savelugu Nanton,Northern,2024894741,2025,m,40,4551,2015
814,Karaga,Karaga,KARAGA,812,Karaga,Karaga,Northern,3123969931,3124,m,40,3028,2015
815,Gushiegu,Gushiegu,GUSHIEGU,810,Gushegu,Gushegu,Northern,2679059053,2679,m,40,2886,2015
816,Saboba,Saboba,SABOBA,815,Saboba,Saboba,Northern,1755183178,1755,m,40,1931,2015
817,Chereponi,Chereponi,CHEREPONI,814,Chereponi,Chereponi,Northern,1377961980,1378,m,40,1541,2015
818,Bunkpurugu Yonyo,Bunkpurugu Yonyo,BUNKPURUGU YONYO,804,Bunkpurugu Yunyoo,Bunkpurugu Yunyoo,Northern,1259670900,1260,m,40,3972,2015
819,Mamprusi East,Mamprusi East,EAST MAMPRUSI,809,Mamprusi East,Mamprusi East,Northern,1709519918,1710,m,40,3555,2015
820,West Mamprusi,West Mamprusi,WEST MAMPRUSI,818,Mamprusi West,Mamprusi West,Northern,2613240684,2613,m,40,3919,2015
821,North Gonja,North Gonja,NORTH GONJA,825,Gonja West,Gonja West,Northern,4846667821,4847,m,40,1193,2015
822,Kumbumgu,Kumbumgu,KUMBUMGU,826,Tolon Kumbungu,Tolon Kumbungu,Northern,1542314965,1542,m,40,1332,2015
823,Sagnerigu,Sagnerigu,SAGNERIGU MUNICIPAL,801,Tamale,Tamale,Northern,200628386.3,201,m,40,4799,2015
825,Tatale,Tatale,TATALE,817,Zabzugu Tatale,Zabzugu Tatale,Northern,1093300530,1093,m,40,1535,2015
826,Mamprugu Moagduri,Mamprugu Moagduri,MAMPRUGU MOAGDURI,818,Mamprusi West,Mamprusi West,Northern,2122327295,2122,m,40,1512,2015
901,Builsa North,Builsa North,BUILSA NORTH,1008,Builsa,Builsa,Upper East,816914197.2,817,m,40,1177,2015
904,Bolgatanga Municipal,Bolgatanga Municipal,BOLGATANGA MUNICIPAL,1001,Bolgatanga,Bolgatanga,Upper East,397479987.6,397,m,40,3124,2015
905,Talensi,Talensi,TALENSI,1009,Talensi Nabdam,Talensi Nabdam,Upper East,839390570.1,839,m,40,2017,2015
906,Bongo,Bongo,BONGO,1005,Bongo,Bongo,Upper East,415219980.5,415,m,40,1993,2015
907,Bawku West,Bawku West,BAWKU WEST,1004,Bawku West,Bawku West,Upper East,1072767143,1073,m,40,2317,2015
908,Garu Tempane,Garu Tempane,GARU TEMPANE,1006,Garu Tempane,Garu Tempane,Upper East,1062875642,1063,m,40,3833,2015
909,Bawku Municipal,Bawku Municipal,BAWKU MUNICIPAL,1002,Bawku,Bawku,Upper East,247678178.2,248,m,40,1690,2015
910,Builsa South,Builsa South,BUILSA SOUTH,1008,Builsa,Builsa,Upper East,1241987920,1242,m,40,1294,2015
911,Nabdam,Nabdam,NABDAM,1009,Talensi Nabdam,Talensi Nabdam,Upper East,245258335.8,245,m,40,661,2015
912,Binduri,Binduri,BINDURI,1002,Bawku,Bawku,Upper East,392567406,393,m,40,1765,2015
913,Pusiga,Pusiga,PUSIGA,1002,Bawku,Bawku,Upper East,256239322.7,256,m,40,1143,2015
1001,Wa West,Wa West,WA WEST,903,Wa West,Wa West,Upper West,1490404932,1490,m,40,1915,2015
1002,Wa Municipal,Wa Municipal,WA MUNICIPAL,901,Wa,Wa,Upper West,579358252.4,579,m,40,1987,2015
